DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE
25-03-2024,COMM - IFO SUNBETH GLOBAL CONCE,50.00,0.00,662388966.04
25-03-2024,VAT - BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONCE,3.75,0.00,662388962.29
25-03-2024,BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONCEPTS LIM,200000000.00,0.00,462388962.29
25-03-2024,REV. AUTOPAY CHARGES,0.00,16.13,462388978.42
25-03-2024,REV. TRSF IFO GREAT OMA NIG LTD,0.00,200000000.00,662388978.42
26-03-2024,FT IFO GREAT OMA NIGERIA LIMITED BO SUNBETH GLOBA,200000000.00,0.00,462388978.42
26-03-2024,COMM - IFO GREAT OMA NIGERIA LIMITED BO SUNBETH,50.00,0.00,462388928.42
26-03-2024,VAT - IFO GREAT OMA NIGERIA LIMITED BO SUNBETH,3.75,0.00,462388924.67
26-03-2024,FT IFO SUNBETH GLOBAL CONCEPTS LIMITED,300000000.00,0.00,162388924.67
26-03-2024,AUTOPAY CHARGES,16.13,0.00,162388908.54
27-03-2024,ELECTRONIC MONEY TRANSFER LEVY 1 TRANS: 26-MAR-24,50.00,0.00,162388858.54
27-03-2024,FT IFO SUNBETH GLOBAL CONCEPTS LIMITED,150000000.00,0.00,123888858.54
27-03-2024,VAT - FT IFO SUNBETH GLOBAL CONCEPTS LIMITED,3.75,0.00,123888854.79
27-03-2024,COMM - FT IFO SUNBETH GLOBAL CONCEPTS LIMITED,50.00,0.00,123888804.79
28-03-2024,N-10153712863/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,512388804.79
28-03-2024,N-10153712264/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,1012388804.79
28-03-2024,ACCT MAINT. CHARGES:01-MAR-24 TO 31-MAR-24,1826266.94,0.00,1010562537.85
28-03-2024,VAT ON ACCT MAINT CHARGES:01-MAR-24 TO 31-MAR-24,137120.02,0.00,1010425417.83
01-04-2024,SMS ALERT CHARGES FOR FEB 25 TO MAR 24,2024,128.00,0.00,1010425289.83
02-04-2024,ELECTRONIC MONEY TRANSFER LEVY 2 TRANS: 28-MAR-24,100.00,0.00,1010425189.83
03-04-2024,RTGS TRSF IFO FBN/SUNBETH GLOBAL CONCEPTS LTD,1021.25,0.00,1010424168.58
03-04-2024,RTGS TRSF IFO FBN/SUNBETH GLOBAL CONCEPTS LTD,500000000.00,0.00,510424168.58
03-04-2024,RTGS TRSF IFO FBN/SUNBETH GLOBAL CONCEPTS LTD,500000000.00,0.00,10424168.58
03-04-2024,RTGS TRSF IFO FBN/SUNBETH GLOBAL CONCEPTS LTD,1021.25,0.00,10423147.33
26-04-2024,N-10155484463/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,138587424.00,149010571.33
28-04-2024,ELECTRONIC MONEY TRANSFER LEVY 1 TRANS: 26-APR-24,50.00,0.00,149010521.33
30-04-2024,VAT - BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONCE,3.75,0.00,149010517.58
30-04-2024,COMM - BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONC,50.00,0.00,149010467.58
30-04-2024,BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONCEPTS LI,50000000.00,0.00,99010467.58
30-04-2024,COMM - BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONC,50.00,0.00,99010417.58
30-04-2024,BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONCE,50000000.00,0.00,49010417.58
30-04-2024,VAT - BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONCE,3.75,0.00,49010413.83
30-04-2024,BO SUNBETH GLOBAL CONCEPTS LI,30000000.00,0.00,19010413.83
30-04-2024,COMM - BO SUNBETH GLOBAL IFO SUNBETH GLOBAL CONC,50.00,0.00,19010363.83
30-04-2024,VAT - BO SUNBETH GLOBAL IFO ARLINGTON INSURERS BR,3.75,0.00,19010360.08
30-04-2024,BO SUNBETH GLOBAL IFO ARLINGTON INSURERS BR,9100000.00,0.00,9909360.08
30-04-2024,COMM - BO SUNBETH GLOBAL IFO ARLINGTON INSUR. BR,50.00,0.00,9909310.08
30-04-2024,VAT - BO SUNBETH GLOBAL IFO ARLINGTON INSUR. BRO,3.75,0.00,9909306.33
30-04-2024,ACCT MAINT. CHARGES:01-APR-24 TO 30-APR-24,170865.34,0.00,9738440.99
30-04-2024,VAT ON ACCT MAINT CHARGES:01-APR-24 TO 30-APR-24,12814.90,0.00,9725626.09
02-05-2024,SMS ALERT CHARGES FOR MAR 25 TO APR 24, 2024,48.00,0.00,9725578.09
05-06-2024,SMS ALERT CHARGES FOR APR 25 TO MAY 24, 2024,20.00,0.00,9725558.09
03-07-2024,CREDIT CHECK IFO SUNBETH GLOBAL CONCEPT LTD,5000.00,0.00,9720558.09
09-07-2024,NIP-SUNBETH GLOBAL CONCEPTS LIMITED-112856512_F/D/F,0.00,90000000.00,99720558.09
09-07-2024,NIP-SUNBETH GLOBAL CONCEPTS LIMITED-112856534_F/D/F,0.00,50000000.00,149720558.09
09-07-2024,NIP-SUNBETH GLOBAL CONCEPTS LIMITED-112855999_F/D/F,0.00,90000000.00,239720558.09
09-07-2024,NIP-SUNBETH GLOBAL CONCEPTS LIMITED-112854899_F/D/F,0.00,90000000.00,329720558.09
09-07-2024,NIP-SUNBETH GLOBAL CONCEPTS LIMITED-112853557_F/D/F,0.00,90000000.00,419720558.09
09-07-2024,NIP-SUNBETH GLOBAL CONCEPTS LIMITED-11285623_F/D/F,0.00,50000000.00,469720558.09
09-07-2024,NIP-SUNBETH GLOBAL CONCEPTS LIMITED-112853585_F/D/F,0.00,90000000.00,559720558.09
09-07-2024
