DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE
ENTRY,DATE,DESCRIPTION,DEBITS,CREDITS,BALANCE
2021-12-31,BALANCE BROUGHT FORWARD,,,20,881,396.08
2022-01-04,VAT ON BILL GR:167,7,631.71,,20,873,764.37
2022-01-04,BILL NO: 28362303 31/12/2021 GR:166,101,755.82,,20,772,008.55
2022-01-06,PICHEING01A18539 NG02243-C0003425-00001 1329.26 NGN SCB- REMITA SUSPENSE 9665041382 068,1,329.26,,20,770,679.29
2022-01-06,PICHEING01A18540 NG02243-C0003423-00001 24561.23 NGN SCB- REMITA SUSPENSE 9665041382 068,24,561.23,,20,746,118.06
2022-01-06,PICHEING01A18537 NG02243-C0003429-00001 64900.50 NGN FIRST PENSION CUSTODIAN N 2007203062 011,64,900.50,,20,681,217.56
2022-01-06,PICHEING01A19226 NG02243-C0003426-00001 74700.00 NGN ZPC/SIPML CONTRIBUTION AC 1010885522 057,74,700.00,,20,606,517.56
2022-01-06,PICHEING01A18541 NG02243-C0003422-00001 809123.62 NGN SCB - STATE TAX 9665043362 068,809,123.62,,19,797,393.94
2022-01-07,VAT ON BILL GR:93,12,853.93,,19,784,540.01
2022-01-07,BILL NO: 28447765 06/01/2022 GR:92,171,385.87,,19,613,154.14
2022-01-07,SNG02243C0003433-00001 SNG02243C0003433-00001 SNG02243C0003433- 00001,734,882.00,,18,878,272.14
2022-01-10,VAT ON BILL GR:106,10,033.99,,18,868,238.15
2022-01-10,BILL NO: 28466448 07/01/2022 GR:105,133,786.60,,18,734,451.55
2022-01-11,BALANCE: BROUGHT FORWARD,,,,18,734,451.55
2022-01-11,VAT ON BILL GR:168,14.28,,18,734,437.27
2022-01-11,BILL NO: 28495898 10/01/2022 GR:167,190.00,,18,734,247.27
2022-01-12,SNG02243C0003435-00001 SNG02243C0003435-00001 SNG02243C0003435-00001,354,500.00,,18,379,747.27
2022-01-12,SNG02243C0003434-00001,3,988,700.00,,14,391,047.27
2022-01-12,VAT ON BILL GR:67,3,130.39,,14,387,916.88
